Organization Name,Organization Name URL,Operating Status,Company Type,IPO Status,Estimated Revenue Range,Number of Employees,Headquarters Location,Last Funding Type,Total Funding Amount,Total Funding Amount Currency,Total Funding Amount Currency (in USD),Full Description,Industries,Description,Founded Date,Founded Date Precision,Website
Statiq,https://www.crunchbase.com/organization/statiq-e527,Active,For Profit,Private,,11-50,"Gurgaon, Haryana, India",Series A,28150000,USD,28150000,"Statiq is an electric vehicle charging network that allows customers to find the closest charging station, book a slot, and pay online. Statiq creates and aggregates its own smart EV chargers as well as other public EV chargers. Founded in the year 2020 by Akshit Bansal and Raghav Arora and is based in Gurgaon, Haryana, India.","Automotive, Electric Vehicle, Electrical Distribution","Statiq is an electric vehicle charging network that allows customers to find the closest charging station, book a slot, and pay online.",2020-01-01,year,https://www.statiq.in/
Zap Energy,https://www.crunchbase.com/organization/zap-energy,Active,For Profit,Private,,101-250,"Seattle, Washington, United States",Series C,202800000,USD,202800000,"Zap Energy's fusion reactor stabilizes plasma using sheared flows rather than magnetic fields. Driving electric current through the flow creates the magnetic field, which confines and compresses the plasma. The higher the current, the greater the pressure and density in the plasma.  Zap Energy's reactor is the least expensive, most compact, most scalable solution with the shortest path to commercially viable fusion.","Energy, Nuclear, Renewable Energy",Zap Energy is an energy technology company that builds a fusion reactor that does not employ magnets.,2017-01-01,year,https://www.zapenergyinc.com
OhmConnect,https://www.crunchbase.com/organization/ohmconnect,Active,For Profit,Private,Less than $1M,11-50,"San Francisco, California, United States",Series D,83500000,USD,83500000,"OhmConnect is a software based powerplant that assists users in organizing the way they use their electricity usage to lessen digital pollution. OhmConnect rewards its users by saving energy to allow them to make money and win prizes. The company was established in 2013 by Matt Deusterberg in Oakland, California.","Energy, Energy Management, Power Grid, Software",OhmConnect provides a software based powerplant which assists users in reducing their use of electricity.,2013-01-01,year,https://www.ohmconnect.com
Intersect Power,https://www.crunchbase.com/organization/intersect-power,Active,For Profit,Private,,101-250,"Beaverton, Oregon, United States",Private Equity,4109000000,USD,4109000000,"Intersect Power is a clean infrastructure company bringing efficient, innovative, and scalable low-carbon solutions to its customers in energy and commodity markets. Our expertise includes all phases of development, design, engineering, finance, and operations. Intersect Power has a pipeline of 3.2GWDC of late-stage solar and storage projects that will be in operation by 2023 and an emerging pipeline of other clean infrastructure assets. The company has also developed and sold more than 1.7 GWDC of contracted solar projects across California and Texas, which are owned and operated by third-party investors.","Energy, Energy Storage, Fuel, Renewable Energy, Solar, Wind Energy","Intersect Power is a clean infrastructure company bringing efficient, innovative, and scalable low-carbon solutions.",2016-01-01,year,https://www.intersectpower.com/
Envision Digital,https://www.crunchbase.com/organization/envision-digital,Active,For Profit,Private,,501-1000,"Singapore, Central Region, Singapore",Series A,210000000,USD,210000000,"Envision Digital provides software solutions for organizations across the world and improve their citizens’ quality of life. EnOS, Envision Digital’s proprietary AIoT operating system, connects and manages more than 100 million smart devices and 280 gigawatts of energy assets globally, while its growing ecosystem of more than 350 customers and partners spans 10 industries and includes Accenture, Amazon Web Services, GovTech Singapore, Keppel Corporation, Microsoft, Nissan, PTT, Sonnen, Solarvest and Total. Founded in 2017, the company is based in  Central Region, Singapore.","Energy, Information Technology, Internet of Things, Software",Envision Digital provides software solutions for organizations across the world and improve their citizens’ quality of life.,2017-01-01,year,https://www.envision-digital.com
Andreessen Horowitz,https://www.crunchbase.com/organization/andreessen-horowitz,Active,For Profit,Private,$50M to $100M,101-250,"Menlo Park, California, United States",,,,,"Andreessen Horowitz is a venture capital firm specializing in investing in seed, start-ups, early, mid stage, growth, and late stage. It prefers to invest in the social media business and technology sector with a focus on software, back-end infrastructure, infrastructure of the Internet, cloud computing, enterprise software and services, consumer, business Internet, mobile-Internet, consumer Internet, cloud computing, data-storage, social network browsers data-storage, consumer electronics, networking functions, software related biology, biotech, and medicine companies at the intersection of computer science and life sciences with a focus on digital therapeutics, cloud technology in biology, and computational medicine.","Angel Investment, Finance, Financial Services, Renewable Energy, Venture Capital",Andreessen Horowitz is a stage-agnostic venture capital firm with assets under management across multiple funds.,2009-06-01,month,http://www.a16z.com
EV Connect,https://www.crunchbase.com/organization/ev-connect,Active,For Profit,Private,$10M to $50M,101-250,"El Segundo, California, United States",Venture - Series Unknown,53042603,USD,53042603,"EV Connect is on a mission to build a better planet by enabling electricity as a transportation fuel. Through its innovative and open charging cloud platform, EV Connect simplifies the set-up, management, and optimization of charging services with premium customer support, from installation to the driver experience. EV Connect guides companies of all sizes in managing networks of chargers and delivers a seamless EV charging experience that empowers drivers. Established in 2010, EV Connect customers include Avista Utilities, Love’s Travel Stops, Verizon, Marriott, Hilton, Western Digital, ADP, New York Power Authority, and numerous municipalities.","Automotive, Electric Vehicle, Renewable Energy, Software","EV Connect provides enterprise-class, electric vehicle charging software, and solutions.",2009-03-01,day,http://www.evconnect.com
Generate Capital,https://www.crunchbase.com/organization/generate-capital,Active,For Profit,Private,,251-500,"San Francisco, California, United States",Venture - Series Unknown,2106603600,USD,2106603600,"Generate Capital is a finance company that builds, owns, and operates sustainable infrastructure to deliver affordable and reliable resource solutions. The company operates and finances assets in energy, mobility, and water resources. Founded in 2014 by Jigar Shah, Matan Friedman, and Scott Jacobs, Generate Capital is headquartered in San Francisco, California.","Renewable Energy, Solar, Sustainability","Generate Capital builds, owns, and operates sustainable infrastructure to deliver affordable and reliable resource solutions.",2014-01-01,month,https://generatecapital.com/
Vestas,https://www.crunchbase.com/organization/vestas,Active,For Profit,Private,$10B+,10001+,"Aarhus, Midtjylland, Denmark",Debt Financing,475000000,EUR,495597012,"The sharp rise in energy consumption calls for a sustainable modern solution that does not create more greenhouse gases, pollution or waste for future generations. Vestas has a strong business case for adding more wind to the energy mix, and is leading the way in harnessing the power of the wind and boosting locally produced energy and jobs. This is why we call wind power, modern energy.  Our sole focus is wind power and we have installed more than 38,000 wind turbines in 63 countries on five continents. We install an average of one wind turbine every three hours around the clock. By 2020, we predict that 10% of the worldâ€™s electricity production will come from wind power. And at Vestas we are striving to make that number even bigger. Join us in the quest.","Energy, Environmental Engineering, Renewable Energy",Vestas is the only global energy company dedicated exclusively to wind energy. Wind is our business and our passion.,1898-01-01,year,http://www.vestas.com
Enpal,https://www.crunchbase.com/organization/enpal,Active,For Profit,Private,$100M to $500M,251-500,"Berlin, Berlin, Germany",Debt Financing,782629290,USD,782629290,"Enpal is a photovoltaics leasing firm that provides solar power systems. Its product already enables customers to reduce their electricity expenditure through a solar system and a green all-inclusive energy solution.  The company was founded in 2017 by Jochen Ziervogel, Mario Kohle, and Viktor Wingert. It is based in Berlin, Germany.","Energy, Environmental Consulting, Renewable Energy, Solar",Enpal is a photovoltaics leasing firm that provides solar power systems for homeowners with no money upfront.,2017-02-01,month,http://www.enpal.de
Booster,https://www.crunchbase.com/organization/booster-fuels,Active,For Profit,Private,,251-500,"San Mateo, California, United States",Series D,213612016,USD,213612016,"Booster is energy delivered, integrated logistics, and society’s solution for decarbonizing last-mile delivery. We reinvented the way vehicles get power for 120,000+ customers and 300+ businesses. Their customers have saved more than eight million miles and four million pounds of CO2 emissions. With Booster, businesses can add back more than 31K labor hours every year, plus 68 thousand miles of wear and tear and $700K spent on fueling. Booster was established in 2015 and operates in San Mateo, California, United States.","Energy, Fleet Management, Logistics, Mobile, Oil and Gas, Service Industry","Booster focuses on energy delivery, integrated logistics, and providing solutions for decarbonizing last-mile delivery.",2015-01-01,month,https://boosterusa.com
Britishvolt,https://www.crunchbase.com/organization/britishvolt,Active,For Profit,Private,,101-250,"London, England, United Kingdom",Venture - Series Unknown,2428766038,USD,2428766038,"Britishvolt is an automation company. The United Kingdom has been at the forefront of global investment in high technology development and innovation since the industrial revolution. Our country attracts the highest level of international investment of any country in Europe. The battery research and development activities underway, amongst our rolling hills and green pastures, are at the cutting edge of the sustainable energy and transportation industries.","Battery, Manufacturing","Britishvolt will deliver sustainable, low-carbon batteries on the roadmap to decarbonisation",2018-01-01,year,https://britishvolt.com/
Ecozen,https://www.crunchbase.com/organization/ecozen-solutions,Active,For Profit,Private,$1M to $10M,101-250,"Pune, Maharashtra, India",Series C,15635415,USD,15635415,"Ecofrost - solar powered, portable cold room based on thermal energy storage, Ecotron - smart controller for irrigation pumps, Eco-Connect - platform that connects farmers growing perishables with organized buyers.  Ecofrost helps farmers growing fruits, vegetables, and flowers to radically increase the shelf life of their produce, allowing them to target farther markets and increase their profitability.  Ecotron is a leading solar pump solution in India, embedding IoT & efficient motor technology to provide the most efficient irrigation solution for farmers alongwith remote monitoring, diagnostics, and predictive analytics. Ecotron has demonstrated a clear competitive edge in its existing markets by retaining a major market share nationally. Eco-Connect is a market linkage platform for farmers growing perishables, connecting them digitally to potential buyers, including exporters, retailers, and processors. Eco-Connect is unique as a marketplace because of its cold chain integration.","Agriculture, AgTech, CleanTech, Energy",Ecozen is a technology company enabling Farm-To-Fork value chain for perishables.,2010-10-20,day,https://ecozensolutions.com
Octopus Energy,https://www.crunchbase.com/organization/octopus-energy,Active,For Profit,Private,$1B to $10B,501-1000,"London, England, United Kingdom",Undisclosed,1529000000,USD,1529000000,"Octopus Energy builds technology that reduces the cost of energy, improves customer experience, and paves the way to a cheaper, greener, smarter grid. The company provides an easy, affordable energy option for Great Britain's businesses. It was established in 2015 as a subsidiary of Octopus Group, a British asset management company.","Energy, Energy Efficiency, GreenTech, Renewable Energy",Octopus Energy builds technology that reduces the cost of energy to improve customer experience.,2015-10-01,day,https://octopus.energy/
ClearTrace,https://www.crunchbase.com/organization/cleartrace,Active,For Profit,Private,$1M to $10M,11-50,"Austin, Texas, United States",Series B,24000000,USD,24000000,"ClearTrace is a software company that provides automated energy and carbon accounting for investors, enterprises, and real estate owners. Its digital assets represent the purest form of proof and immutability for the real-world impact of energy generation and consumption. ClearTrace allows companies to stand behind their claims of carbon reductions, sustainability, and renewable energy to prevent greenwashing and provide a source of truth for corporate decarbonization. The company was founded in 2017 and is headquartered in Austin, Texas.","Energy, Environmental Consulting, Information Technology, Internet of Things, Renewable Energy, Software","ClearTrace is a software company that provides automated energy and carbon accounting for investors, enterprises, and real estate owners.",2017-01-01,year,https://cleartrace.io/
Quaise,https://www.crunchbase.com/organization/quaise,Active,For Profit,Private,,1-10,"Cambridge, Massachusetts, United States",Series A,70000000,USD,70000000,"Quaise is an energy company that is developing and commercializing novel millimeter-wave drilling systems to harness geothermal energy around the globe, overcoming the geographic constraints limiting this energy source today. The company was founded in 2018 and is based in Cambridge, Massachusetts.","Advanced Materials, Clean Energy, Energy, Industrial",Quaise is an energy company that develops a millimeter-wave drilling technology to access deep geothermal energy.,2018-01-01,year,https://www.quaise.energy
Arloid Automation,https://www.crunchbase.com/organization/arloid-automation,Active,For Profit,Private,$1M to $10M,51-100,"London, England, United Kingdom",Seed,6900000,USD,6900000,"We resolve energy inefficiency in real estate.  Arloid Automation is a global leader in AI-based solutions designed to simplify MEP (mechanical, electrical and plumbing engineering) systems management for a broad portfolio of real estate.  Our unique algorithm combines the power of Deep Reinforced Learning and Digital Twin technologies enabling real estate management companies to meet their financial and sustainability objectives.  Simple to deploy and intuitive to manage, arloid.ai solution, in real-time, intelligently and precisely adjusts HVAC systems settings resulting in up to 40% reduction in utility consumption bills and carbon footprint. With zero CAPEX and no additional hardware installation, our risk-free and proven technology delivers measurable results in under 60 days.  Headquartered in London, UK, Arloid Automation has representative offices in Dubai and Singapore as well as a developed international partner network.","Artificial Intelligence, Energy Efficiency, Energy Management, Information Technology, Machine Learning, Smart Building, Software",The ultimate AI solution for energy efficiency,2019-01-01,year,https://arloid.com
Koch Industries,https://www.crunchbase.com/organization/koch-industries,Active,For Profit,Private,$10B+,10001+,"Wichita, Kansas, United States",Undisclosed,265282206,USD,265282206,"Koch Industries is an American multinational corporation based in Wichita, Kansas with subsidiaries involved in manufacturing, trading, and investments. Koch also owns Invista, Georgia-Pacific, Flint Hills Resources, Koch Pipeline, Koch Fertilizer, Koch Minerals and Matador Cattle Company. Companies owned by Koch Industries are involved in core industries such as the manufacturing, refining and distribution of petroleum, chemicals, energy, fiber, intermediates and polymers, minerals, fertilizers, pulp and paper, chemical technology equipment, ranching, finance, commodities trading, and many other ventures and investments. The firm employs more than 100,000 people worldwide in more than 50 countries, with most of those employees working in the United States.","Electronics, Energy, Farming, Oil and Gas",Koch Industries is an operator of a diverse set of businesses and industries to create life's basic necessities.,1940-01-01,year,https://www.kochind.com
Mainspring Energy,https://www.crunchbase.com/organization/etagen,Active,For Profit,Private,$10M to $50M,251-500,"Menlo Park, California, United States",Series E,328000000,USD,328000000,"Mainspring Energy is engineering advanced technology by developing a prototype of a linear generator that converts fuel to electricity. Mainspring was founded in 2010 by three Stanford engineers- Shannon Miller, Adam Simpson, and Matt Svrcek.  Today Mainspring brings together a diverse, talented team of individuals who share the vision to address the growing threat of climate change and the need for affordable electricity for all.","Clean Energy, Energy, Oil and Gas",Mainspring Energy is engineering advanced technology by developing a prototype of a linear generator that converts fuel to electricity.,2010-01-01,year,https://mainspringenergy.com/
LanzaTech,https://www.crunchbase.com/organization/lanzatech-new-zealand,Active,For Profit,Private,$10M to $50M,51-100,"Skokie, Illinois, United States",Undisclosed,310400000,USD,310400000,"LanzaTech is turning our global carbon crisis into a feedstock opportunity with the potential to displace 30% of crude oil use today and reduce global CO2 emissions by 10%. By recycling carbon from industrial off-gases; syngas generated from any biomass resource (e.g. municipal solid waste (MSW), organic industrial waste, agricultural waste); and reformed biogas, LanzaTech can reduce emissions and make new products for a circular carbon economy. LanzaTech’s carbon recycling technology is like retrofitting a brewery onto an emission source like a steel mill or a landfill site, but instead of using sugars and yeast to make beer, pollution is converted by bacteria to fuels and chemicals! Imagine a day when your plane is powered by recycled GHG emissions, when your yoga pants started life as pollution from a steel mill. This future is possible using LanzaTech technology.","Clean Energy, CleanTech, Fuel, Natural Resources, Renewable Energy, Sustainability","Creating new economic opportunities for companies, communities and countries around the world.",2005-01-01,year,http://www.lanzatech.com
Pine Gate Renewables,https://www.crunchbase.com/organization/pine-gate-renewables,Active,For Profit,Private,,251-500,"Charlotte, North Carolina, United States",Private Equity,1020000000,USD,1020000000,"Pine Gate Renewables plans and builds small utility-scale solar farms that generate clean renewable power for the communities in which they are located. They position their farms near existing utility connection points, and they thoroughly vet their solar farmland to ensure minimum environmental impact.","Energy, Environmental Consulting, Environmental Engineering, Renewable Energy, Solar",Pine Gate Renewables is a U.S. developer of 2-25 MW utility-scale solar farms.,2014-01-01,year,http://pgrenewables.com/
N-able Technologies,https://www.crunchbase.com/organization/n-able-technologies,Active,For Profit,Private,,51-100,"Ottawa, Ontario, Canada",Debt Financing,225000000,USD,225000000,"N-able empowers managed services providers (MSPs) to help small and medium enterprises navigate the digital evolution. With a flexible technology platform and powerful integrations, N-able makes it easy for MSPs to monitor, manage, and protect their end-customer systems, data, and networks. N-able’s growing portfolio of security, automation, and backup and recovery solutions is built for IT services management professionals. N-able simplifies complex ecosystems and enables customers to solve their most pressing challenges. N-able provides extensive, proactive support—through enriching partner programs, hands-on training, and growth resources—to help MSPs deliver exceptional value and achieve success at scale.","Enterprise Software, Information Technology, Software, Solar",N-able Technologies is a provider of complete IT management and automation solutions for managed service providers.,2000-01-01,year,http://www.n-able.com
zolar,https://www.crunchbase.com/organization/zolar,Active,For Profit,Private,,251-500,"Berlin, Berlin, Germany",Series C,159000000,EUR,173970924,"With the zolar online configurator, homeowners can customise the components of their PV system to suit their individual requirements and receive personal assistance from one of our solar energy experts at the same time. zolar’s extensive network of local partner companies takes care of the installation on site. The Berlin-based start-up employs around 200 employees across Germany and pursues the vision of installing a PV system on every roof in the world in order to make private households more independent from the mains grid. The dovetailing of energy generation, electricity storage and mobility allows customers to design electrified and smart households. As a next green energy company, zolar enables its customers to become energy providers for their own four walls, neutralise their carbon footprint and, in turn, make an effective contribution to climate protection.","Clean Energy, CleanTech, Consumer, Energy, Green Consumer Goods, Solar","zolar offers photovoltaic systems, which homeowners are able to custom plan, compare, and order online, at a fixed price.",2016-01-01,year,https://www.zolar.de/
Mercuria,https://www.crunchbase.com/organization/mercuria-energy-group,Active,For Profit,Private,$1M to $10M,1001-5000,"Geneva, Geneve, Switzerland",Debt Financing,2200000000,USD,2200000000,"Mercuria is an independent energy and commodity group. The Group focuses primarily on energy commodities, with a presence throughout the value chain sustained by a balanced combination of global commodity flows and strategic assets.","Energy, Oil and Gas, Sustainability",Mercuria is a privately held Swiss international commodity trading company active over a wide spectrum of global energy.,2004-01-01,year,http://www.mercuria.com
Autogrid,https://www.crunchbase.com/organization/autogrid,Active,For Profit,Private,$10M to $50M,101-250,"Redwood City, California, United States",Series D,161000000,USD,161000000,"AutoGrid Systems organizes energy data and employs big data analytics to generate real-time predictions that create actionable data. The company’s suite of flexibility management applications allows utilities, electricity retailers, renewable energy project developers and energy service providers to deliver cheap, clean and reliable energy by managing networked distributed energy resources (DERs) in real time and at scale. AutoGrid applications utilize petabytes of smart meter, sensor and third-party data, along with powerful data science and high-performance computing algorithms, to monitor, predict, optimize and control the operations of millions of assets connected across global energy networks. Established at Stanford University in 2011, they have assembled a team of world-class software architects, electrical and computer engineers, data scientists and energy experts who apply cutting-edge analytics and in-depth energy data science to solve the world’s most critical energy problems.","Analytics, Artificial Intelligence, Cloud Computing, Electric Vehicle, Energy, Energy Storage, Internet of Things, Renewable Energy",AutoGrid Systems organizes energy data and employs big data analytics to generate real-time predictions that create actionable data.,2011-01-01,year,http://www.auto-grid.com
Polarium,https://www.crunchbase.com/organization/incell-international-ab,Active,For Profit,Private,$100M to $500M,251-500,"Stockholm, Stockholms Lan, Sweden",Venture - Series Unknown,124044437,USD,124044437,Polarium provides smart lithium-based power backup solutions to the global telecom market. Its battery solutions increase network availability while reducing TCO with minimal environmental impact.,"Battery, Information Technology, Internet, Mobile, Mobile Devices, Telecommunications",Polarium offers Lithium battery solutions for telecom.,2004-01-01,year,https://polarium.com/
Evergen,https://www.crunchbase.com/organization/evergen,Active,For Profit,Private,$1M to $10M,51-100,"Newcastle, New South Wales, Australia",Series B,22179434,USD,22179434,"Evergen we are on a mission to kill a coal fired power station in 10 countries by 2023. Our team is an amazing mix of some of the smartest, curious and most diverse people from all over the world working together to speed up the transition of the world to renewables. We have worked hard to develop some simple principles we live by. These principles are not just some words in the back of an employee handbook, they are principles we use to hold each other accountable, make hiring decisions and determine who we partner with. We have, and will continue to pass on deals, people, investors if they don't align to our values. 1. Pull together, keep at it. 2. Better, faster, smarter. 3. Talk straight, listen hard. 4. Enjoy the ride. If the above don't fundamentally feel right to you, then that's cool, each to their own, but we're not sure it's going to work out between us...  Product (tell us about your product) Evergen Intelligent Control optimises solar and battery system performance, enabling homeowners to take control of their energy costs and impact on the environment. Our technology also enables smarter energy by orchestrating large fleets of batteries to enable Virtual Power Plants. This ensures a resilient and decentralised energy system of the future and drives benefits for consumers, businesses, network operators and utilities. Picture this, 1000's of houses  all over Australia (and eventually globally) each with their own solar and battery system all working together to supply excess power into the grid. This is real, right here, right now. Evergen is the platform that automatically does this. What we do is power Virtual Power Plants (VPP's for short). Yep, pretty cool huh.","Battery, Energy, Energy Management, Energy Storage, Information Technology, Renewable Energy, Software, Solar",Evergen software enables smarter energy.,2015-01-01,year,http://www.evergen.com.au/
Moleaer,https://www.crunchbase.com/organization/moleaer,Active,For Profit,Private,Less than $1M,1-10,"Torrance, California, United States",Series C,67500000,USD,67500000,"Moleaer is a Los Angeles-based company, develops industrial scale nanobubble systems, resulting in a radical improvement to the economics of agriculture, separating metals, treating wastewaters and recovering oil.  Nanobubbles are unique in that they do not float and have immense surface area.  This combination allows nanobubbles to stay suspended in water for long periods of time, resulting in an unprecedented high rate of gas transfer.  Moleaer's XTB™ Nanobubble Generators increase productivity, water quality, and eliminate maintenance expenses across a wide range of applications.","Energy, Industrial, Nanotechnology","Moleaer is a Los Angeles-based company, develops industrial scale nanobubble systems.",2016-01-01,year,https://moleaer.com/
Deepki,https://www.crunchbase.com/organization/deepki,Active,For Profit,Private,,101-250,"Paris, Ile-de-France, France",Series C,178825047,USD,178825047,"Deepki supports real estate players in their transition to net zero and sustainability. To achieve this transition towards sustainability, Deepki helps realign stakeholders’ interests to build efficient strategies and transform real estate into a positive force for the planet. Deepki is the only company offering a fully populated ESG data intelligence platform combined with expert advisory services. The company’s end-to-end solutions leverage data to improve ESG performance and enhance the value of real estate assets.","Analytics, Energy Efficiency, Information Technology, Real Estate",Deepki helps real estate owners reduce their carbon footprints.,2014-01-01,year,http://deepki.com/
Zypp Electric,https://www.crunchbase.com/organization/mobycy,Active,For Profit,Private,$1M to $10M,101-250,"Gurgaon, Haryana, India",Debt Financing,11593101,USD,11593101,"Zypp Electric is an EV delivery app that operates in the last-mile space. Zypp is working to convert all deliveries for e-commerce, grocery, medicine, and food vertical to go electric with an e-scooter sharing app. Making last-mile delivery more affordable, time-saving, and with zero emission.  Zypp, through its continuous efforts to invest and strategize toward the mission of zero-emission, has become the first EV logistics player to turn EBITDA positive business, the company claimed in the statement.","Clean Energy, Delivery Service, Electric Vehicle, Logistics, Mobile Apps, Same Day Delivery, Sustainability",Zypp Electric is an EV delivery app that operates in the last-mile space.,2017-08-08,day,http://www.zypp.app
